Species,AREA,Year,Escapement_Total,Sum of Escapement_Wild
Chinook,FRASER,1953,NA,0
Chinook,FRASER,1954,NA,0
Chinook,FRASER,1955,NA,0
Chinook,FRASER,1956,NA,0
Chinook,FRASER,1957,NA,0
Chinook,FRASER,1958,NA,0
Chinook,FRASER,1959,NA,0
Chinook,FRASER,1960,NA,0
Chinook,FRASER,1961,NA,0
Chinook,FRASER,1962,NA,0
Chinook,FRASER,1963,NA,0
Chinook,FRASER,1964,NA,0
Chinook,FRASER,1965,NA,0
Chinook,FRASER,1966,NA,0
Chinook,FRASER,1967,NA,0
Chinook,FRASER,1968,NA,0
Chinook,FRASER,1969,NA,0
Chinook,FRASER,1970,NA,0
Chinook,FRASER,1971,NA,0
Chinook,FRASER,1972,NA,0
Chinook,FRASER,1973,NA,0
Chinook,FRASER,1974,NA,0
Chinook,FRASER,1975,205,205
Chinook,FRASER,1975,300,99.76333333
Chinook,FRASER,1975,356,257.815556
Chinook,FRASER,1975,5606,2884.663225
Chinook,FRASER,1975,11686,10399.11171
Chinook,FRASER,1975,15000,13547.68048
Chinook,FRASER,1975,32421,26306.14557
Chinook,FRASER,1975,NA,0
Chinook,FRASER,1976,200,200
Chinook,FRASER,1976,250,83.13611111
Chinook,FRASER,1976,473,342.547073
Chinook,FRASER,1976,3931,2914.768213
Chinook,FRASER,1976,4445,2287.250809
Chinook,FRASER,1976,7080,6300.334667
Chinook,FRASER,1976,7500,6773.840242
Chinook,FRASER,1976,NA,0
Chinook,FRASER,1977,210,210
Chinook,FRASER,1977,756,251.4036
Chinook,FRASER,1977,891,645.263091
Chinook,FRASER,1977,3498,1799.955755
Chinook,FRASER,1977,7621,6784.5116
Chinook,FRASER,1977,16288,13011.64376
Chinook,FRASER,1977,25000,22579.46747
Chinook,FRASER,1977,NA,0
Chinook,FRASER,1978,400,533.0177778
Chinook,FRASER,1978,461,333.856661
Chinook,FRASER,1978,3974,2044.8897
Chinook,FRASER,1978,8136,7242.798656
Chinook,FRASER,1978,15000,13547.68048
Chinook,FRASER,1978,17737,14362.26675
Chinook,FRASER,1978,NA,0
Chinook,FRASER,1979,300,99.76333333
Chinook,FRASER,1979,470,340.37447
Chinook,FRASER,1979,775,775
Chinook,FRASER,1979,3017,1552.448974
Chinook,FRASER,1979,3759,3347.803622
Chinook,FRASER,1979,15000,13547.68048
Chinook,FRASER,1979,17171,13779.64451
Chinook,FRASER,1979,NA,0
Chinook,FRASER,1980,250,83.13611111
Chinook,FRASER,1980,340,246.22834
Chinook,FRASER,1980,500,500
Chinook,FRASER,1980,6180,3180.024747
Chinook,FRASER,1980,6441,4912.430143
Chinook,FRASER,1980,7560,6951.905089
Chinook,FRASER,1980,10000,9031.78699
Chinook,FRASER,1980,NA,0
Chinook,FRASER,1981,135,97.767135
Chinook,FRASER,1981,185,185
Chinook,FRASER,1981,250,83.13611111
Chinook,FRASER,1981,700,700
Chinook,FRASER,1981,3258,1676.459648
Chinook,FRASER,1981,6866,6419.784756
Chinook,FRASER,1981,8966,6999.076581
Chinook,FRASER,1981,20000,18063.57398
Chinook,FRASER,1981,NA,0
Chinook,FRASER,1982,320,320
Chinook,FRASER,1982,400,133.0177778
Chinook,FRASER,1982,846,612.674046
Chinook,FRASER,1982,3612,2574.559738
Chinook,FRASER,1982,4737,2437.504405
Chinook,FRASER,1982,7425,6782.436833
Chinook,FRASER,1982,22000,19869.93138
Chinook,FRASER,1982,NA,0
Chinook,FRASER,1983,250,83.13611111
Chinook,FRASER,1983,260,260
Chinook,FRASER,1983,640,463.48864
Chinook,FRASER,1983,2439,1253.633086
Chinook,FRASER,1983,5836,4571.354136
Chinook,FRASER,1983,6000,5419.072194
Chinook,FRASER,1983,7676,6953.377978
Chinook,FRASER,1983,NA,0
Chinook,FRASER,1984,45,45
Chinook,FRASER,1984,571,413.518771
Chinook,FRASER,1984,775,257.7219444
Chinook,FRASER,1984,5497,2792.887666
Chinook,FRASER,1984,6784,6268.077389
Chinook,FRASER,1984,8350,6460.868102
Chinook,FRASER,1984,122395,110544.5569
Chinook,FRASER,1984,NA,0
Chinook,FRASER,1985,218,157.875818
Chinook,FRASER,1985,450,450
Chinook,FRASER,1985,1250,415.6805556
Chinook,FRASER,1985,7590,7039.499011
Chinook,FRASER,1985,7790,7790
Chinook,FRASER,1985,8589,4804.348568
Chinook,FRASER,1985,11473,8947.391683
Chinook,FRASER,1985,175401,158418.447
Chinook,FRASER,1985,NA,0
Chinook,FRASER,1986,273,197.706873
Chinook,FRASER,1986,1499,1499
Chinook,FRASER,1986,2387,1051.28157
Chinook,FRASER,1986,4249,4249
Chinook,FRASER,1986,6070,6070
Chinook,FRASER,1986,10949,10038.94996
Chinook,FRASER,1986,11335,11335
Chinook,FRASER,1986,13303,7130.765221
Chinook,FRASER,1986,20285,16054.11327
Chinook,FRASER,1986,163312,147499.9197
Chinook,FRASER,1986,NA,0
Chinook,FRASER,1987,130,94.14613
Chinook,FRASER,1987,1542,1542
Chinook,FRASER,1987,1982,849.3969269
Chinook,FRASER,1987,3516,3516
Chinook,FRASER,1987,6593,3541.325442
Chinook,FRASER,1987,12868,11805.5408
Chinook,FRASER,1987,17386,17258.14651
Chinook,FRASER,1987,17797,13598.52535
Chinook,FRASER,1987,79956,72214.55606
Chinook,FRASER,1987,NA,0
Chinook,FRASER,1988,147,106.457547
Chinook,FRASER,1988,1600,1600
Chinook,FRASER,1988,1857,1857
Chinook,FRASER,1988,2556,1155.821404
Chinook,FRASER,1988,6352,3564.172835
Chinook,FRASER,1988,6740,6740
Chinook,FRASER,1988,7441,7352.152661
Chinook,FRASER,1988,13457,12503.12131
Chinook,FRASER,1988,24166,18917.84529
Chinook,FRASER,1988,35572,32127.87268
Chinook,FRASER,1988,NA,0
Chinook,FRASER,1989,303,219.432903
Chinook,FRASER,1989,605,546.4907769
Chinook,FRASER,1989,1141,1141
Chinook,FRASER,1989,2924,1401.523258
Chinook,FRASER,1989,3303,3303
Chinook,FRASER,1989,6342,5966.042733
Chinook,FRASER,1989,8539,4539.873731
Chinook,FRASER,1989,19331,14854.21202
Chinook,FRASER,1989,76032,68670.48284
Chinook,FRASER,1989,NA,0
Chinook,FRASER,1990,441,319.372641
Chinook,FRASER,1990,1397,1397
Chinook,FRASER,1990,2066,1855.366797
Chinook,FRASER,1990,2700,2138.67
Chinook,FRASER,1990,2811,1249.344986
Chinook,FRASER,1990,5082,2747.784604
Chinook,FRASER,1990,10004,9191.738489
Chinook,FRASER,1990,24225,17836.63511
Chinook,FRASER,1990,178839,161523.5753
Chinook,FRASER,1990,NA,0
Chinook,FRASER,1991,273,197.706873
Chinook,FRASER,1991,1007,718.7879008
Chinook,FRASER,1991,1687,744.9296074
Chinook,FRASER,1991,2488,2488
Chinook,FRASER,1991,2890,2890
Chinook,FRASER,1991,3338,2685.194
Chinook,FRASER,1991,7168,3734.426233
Chinook,FRASER,1991,15363,14026.82196
Chinook,FRASER,1991,20175,14045.0658
Chinook,FRASER,1991,92050,83137.59924
Chinook,FRASER,1991,NA,0
Chinook,FRASER,1992,788,570.670388
Chinook,FRASER,1992,906,665.028681
Chinook,FRASER,1992,1245,1245
Chinook,FRASER,1992,1805,679.7086744
Chinook,FRASER,1992,3397,2877.25
Chinook,FRASER,1992,9805,5110.465548
Chinook,FRASER,1992,17859,16229.58743
Chinook,FRASER,1992,25051,18242.60366
Chinook,FRASER,1992,132363,119547.4421
Chinook,FRASER,1992,NA,0
Chinook,FRASER,1993,263,190.464863
Chinook,FRASER,1993,828,516.8176132
Chinook,FRASER,1993,885,885
Chinook,FRASER,1993,3100,2455.51
Chinook,FRASER,1993,3148,1508.082559
Chinook,FRASER,1993,10969,6049.11124
Chinook,FRASER,1993,11799,8353.745819
Chinook,FRASER,1993,12689,11463.55731
Chinook,FRASER,1993,120487,108821.2919
Chinook,FRASER,1993,NA,0
Chinook,FRASER,1994,379,274.472179
