FULL_CU_IN,Area,Species,SMU,SMU Proper
CK-67,TRANS,Chinook,ALSEK CHINOOK SALMON,Alsek Chinook Salmon
CO-45,TRANS,Coho,ALSEK COHO SALMON,Alsek Coho Salmon
SEL-09-xx,FRASER,Sockeye,NO DESIGNATED SMU,No Designated Smu
SEL-06-01,FRASER,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,Fraser Sockeye Salmon - Early Summer
SEL-07-01,FRASER,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,Fraser Sockeye Salmon - Early Summer
CK-39,NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,Central Coast Chinook Salmon
CK-40,NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,Central Coast Chinook Salmon
CK-36,NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,Central Coast Chinook Salmon
CK-42,NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,Central Coast Chinook Salmon
CK-41,NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,Central Coast Chinook Salmon
CK-57,NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,Central Coast Chinook Salmon
CK-37,NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,Central Coast Chinook Salmon
CK-38,NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,Central Coast Chinook Salmon
CM-17,NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,Central Coast Chum Salmon
CM-16,NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,Central Coast Chum Salmon
CM-20,NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,Central Coast Chum Salmon
CM-18,NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,Central Coast Chum Salmon
CM-19,NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,Central Coast Chum Salmon
CM-13,NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,Central Coast Chum Salmon
CM-12,NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,Central Coast Chum Salmon
CM-15,NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,Central Coast Chum Salmon
CM-14,NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,Central Coast Chum Salmon
CO-22,NORTH COAST,Coho,CENTRAL COAST COHO SALMON,Central Coast Coho Salmon
CO-28,NORTH COAST,Coho,CENTRAL COAST COHO SALMON,Central Coast Coho Salmon
CO-29,NORTH COAST,Coho,CENTRAL COAST COHO SALMON,Central Coast Coho Salmon
CO-27,NORTH COAST,Coho,CENTRAL COAST COHO SALMON,Central Coast Coho Salmon
CO-26,NORTH COAST,Coho,CENTRAL COAST COHO SALMON,Central Coast Coho Salmon
CO-30,NORTH COAST,Coho,CENTRAL COAST COHO SALMON,Central Coast Coho Salmon
CO-21,NORTH COAST,Coho,CENTRAL COAST COHO SALMON,Central Coast Coho Salmon
CO-20,NORTH COAST,Coho,CENTRAL COAST COHO SALMON,Central Coast Coho Salmon
SEL-06-02,FRASER,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,Fraser Sockeye Salmon - Early Summer
SEL-06-03,FRASER,Sockeye,FRASER SOCKEYE SALMON - SUMMER,Fraser Sockeye Salmon - Summer
SEL-03-01,FRASER,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,Fraser Sockeye Salmon - Early Summer
SEL-03-02,FRASER,Sockeye,FRASER SOCKEYE SALMON - LATE,Fraser Sockeye Salmon - Late
SEL-06-07,FRASER,Sockeye,FRASER SOCKEYE SALMON - SUMMER,Fraser Sockeye Salmon - Summer
SEL-03-03,FRASER,Sockeye,FRASER SOCKEYE SALMON - LATE,Fraser Sockeye Salmon - Late
SEL-03-04,FRASER,Sockeye,FRASER SOCKEYE SALMON - LATE,Fraser Sockeye Salmon - Late
SER-03,FRASER,Sockeye,FRASER SOCKEYE SALMON - SUMMER,Fraser Sockeye Salmon - Summer
